"gene","median_vst","p_logrank","HR_high_vs_low","HR_lower_95","HR_upper_95","n_high","n_low","events_high","events_low","p_logrank_BH"
"EPAS1",15.464,7.2745217832848e-06,0.494870005570741,0.361633712847502,0.677194392318329,265,264,60,113,5.81961742662784e-05
"PBRM1",10.851,0.00136661806674165,0.608066233608046,0.446985475958869,0.827195880718725,265,264,65,108,0.00397339467217576
"MKI67",9.995,0.00149002300206591,1.63227618121963,1.20275910608962,2.21517801718345,265,264,105,68,0.00397339467217576
"SETD2",11.533,0.00531130389907886,0.648482404574416,0.477134490234015,0.881364557897216,265,264,66,107,0.0106226077981577
"HIF1A",12.888,0.185126671464654,1.22362335389468,0.907573400983028,1.64973335553326,265,264,92,81,0.296202674343446
"CA9",13.452,0.259428128506752,0.84204350417939,0.624334286563643,1.13566926915591,265,264,82,91,0.345904171342336
"VEGFA",16.352,0.503764705641669,1.10720431733636,0.821184181743861,1.49284585307642,265,264,89,84,0.575731092161908
"BAP1",11.68,0.994511923484126,0.99889726366158,0.74087712497288,1.34677628680615,265,264,82,91,0.994511923484126
