"gene","HR_per_unit_vst","HR_lower_95","HR_upper_95","p_wald","concordance","p_wald_BH"
"EPAS1",0.660218738681507,0.582928654073516,0.747756659172955,6.3280935712369e-11,0.641520436834014,5.06247485698952e-10
"MKI67",1.40291326209535,1.21056213808499,1.62582783571646,6.80618112628639e-06,0.595204014914559,2.72247245051456e-05
"PBRM1",0.711968522696901,0.548578338969746,0.92402331864431,0.010648733769637,0.550707734718762,0.0283966233856987
"SETD2",0.741717508034488,0.547879011573334,1.00413567613231,0.0532041973918968,0.552386506211455,0.106408394783794
"BAP1",0.864446285388647,0.613255687821077,1.2185249891074,0.405624809494846,0.498277050310131,0.648999695191754
"HIF1A",1.0670974290576,0.851204705641488,1.33774744847444,0.573370891381244,0.524218487691954,0.688480694003574
"CA9",0.981420504150534,0.914555707229179,1.05317390548603,0.602420607253127,0.519199844492746,0.688480694003574
"VEGFA",1.00648027450154,0.880668557137972,1.15026536913364,0.924466721036808,0.511760236088286,0.924466721036808
