"gene","HR_gene","HR_gene_low","HR_gene_high","p_gene","HR_age","p_age","HR_male","p_male","n","events","concordance","p_gene_BH"
"EPAS1",0.733573207737675,0.607041897920663,0.886478598847674,0.00133951010105103,1.04007414473577,4.07952430510796e-06,0.931877144373548,0.702440059702671,441,128,0.773012939001848,0.0107160808084083
"HIF1A",1.22157286911822,0.961011661993184,1.5527806098323,0.102034917562397,1.04347208941003,9.93175487249652e-07,0.856911655594995,0.41325532973353,441,128,0.773666998435945,0.408139670249589
"VEGFA",1.12781838411868,0.940803166875889,1.35200895611342,0.193494903926578,1.04225740981437,1.72740529964502e-06,0.931882638304379,0.705431594957915,441,128,0.766074221527087,0.447571130570769
"MKI67",1.11544515395761,0.935413203955817,1.33012650048745,0.223785565285384,1.04269047459886,1.28405533215228e-06,0.899381557198911,0.566195309112116,441,128,0.769742641831366,0.447571130570769
"CA9",0.959671124924474,0.878523578593269,1.04831411524378,0.361126102418777,1.04260990860534,1.39643420028824e-06,0.897126949608845,0.558470751081641,441,128,0.769458268164368,0.577801763870042
"PBRM1",0.941750502589678,0.690920147910436,1.28364183880028,0.704101417292526,1.04150908035745,3.51224403009372e-06,0.908217199461177,0.603201473140317,441,128,0.767780463529077,0.938801889723368
"SETD2",1.03564347790088,0.700896178986074,1.53026574473585,0.860434652666782,1.04245557346203,2.34013547914307e-06,0.908428744518404,0.605773615447461,441,128,0.768036399829376,0.983353888762036
"BAP1",1.00179740850147,0.631726298356685,1.58865959877074,0.993909535047721,1.04214185013379,1.7468471223282e-06,0.905047906179611,0.591247226065456,441,128,0.768093274562776,0.993909535047721
