"ensembl_id","symbol","entrez_id","description","baseMean","log2FC","lfcSE","pvalue","padj"
"ENSCAFG00000018753","",476735,"NADH:ubiquinone oxidoreductase subunit A11 [Source:NCBI gene;Acc:476735]",1655.82323015551,0.591173049314933,0.195593864615166,0.000192562665822077,0.0193471561604757
"ENSCAFG00000007377","PEPD",476493,"peptidase D [Source:VGNC Symbol;Acc:VGNC:44419]",611.430972958004,0.399109642934593,0.12384846036394,0.000195778755561755,0.0195141697706356
"ENSCAFG00000005927","DCXR",475926,"dicarbonyl and L-xylulose reductase [Source:VGNC Symbol;Acc:VGNC:39825]",217.556205843775,0.644124585238316,0.216249756883739,0.000202863343617218,0.0196261635247906
"ENSCAFG00000000134","RBMS2",481115,"RNA binding motif single stranded interacting protein 2 [Source:VGNC Symbol;Acc:VGNC:45428]",62.2495970864719,0.394594189688484,0.122535117228722,0.000199953129281653,0.0196261635247906
"ENSCAFG00000012992","SDHC",478983,"succinate dehydrogenase complex subunit C [Source:VGNC Symbol;Acc:VGNC:45952]",1018.9652549288,0.238133054306804,0.0684222458254954,0.000203153217471357,0.0196261635247906
"ENSCAFG00000012997","CFAP126",488655,"cilia and flagella associated protein 126 [Source:VGNC Symbol;Acc:VGNC:56140]",1018.9652549288,0.238133054306804,0.0684222458254954,0.000203153217471357,0.0196261635247906
"ENSCAFG00000015302","CCDC116",486447,"coiled-coil domain containing 116 [Source:VGNC Symbol;Acc:VGNC:52923]",32.7172145601274,0.545892623521861,0.179616224392006,0.000206506102106411,0.0197977873004154
"ENSCAFG00000004011","TBXAS1",482771,"thromboxane A synthase 1 [Source:VGNC Symbol;Acc:VGNC:47178]",91.474755854832,0.475109912209239,0.15315923664132,0.000212731889005776,0.0202401499547238
"ENSCAFG00000017019",NA,NA,NA,249.81988158658,0.341911308421139,0.104391644031136,0.000218537581990769,0.0206361916708426
"ENSCAFG00000002061","CD72",481595,"CD72 molecule [Source:VGNC Symbol;Acc:VGNC:38971]",95.7680310620507,0.404604437275667,0.127652013035164,0.000221290352355937,0.0207401905614792
"ENSCAFG00000005088","CSRNP1",485596,"cysteine and serine rich nuclear protein 1 [Source:VGNC Symbol;Acc:VGNC:39673]",404.909992820377,0.683922900155389,0.234106782890383,0.000226688148727238,0.0210887145175213
"ENSCAFG00000019600",NA,NA,NA,21.4167087122705,0.804136972756403,0.28218295175915,0.000233021054384943,0.0213613972410255
"ENSCAFG00000031660","SLC39A3",612127,"solute carrier family 39 member 3 [Source:NCBI gene;Acc:612127]",367.298978389637,0.604475065701255,0.204125749570277,0.000231888795583573,0.0213613972410255
"ENSCAFG00000000953","CYB5R3",474479,"cytochrome b5 reductase 3 [Source:VGNC Symbol;Acc:VGNC:50283]",1301.91890046427,0.622812461753002,0.211162935555158,0.000240327633968977,0.0217723395209561
"ENSCAFG00000017916","SEMA7A",487644,"semaphorin 7A [Source:VGNC Symbol;Acc:VGNC:59128]",2080.88232307637,0.617721224321526,0.209405189567432,0.000241016180435206,0.0217723395209561
"ENSCAFG00000014484","ETV4",403641,"ETS variant transcription factor 4 [Source:VGNC Symbol;Acc:VGNC:40498]",104.026654197441,0.532550606393725,0.177185013348801,0.000242704636749252,0.0217723395209561
"ENSCAFG00000023467","ACOT6",490770,"acyl-CoA thioesterase 6 [Source:VGNC Symbol;Acc:VGNC:50439]",94.6154413867495,0.826514396220393,0.293634741069534,0.000249060747097561,0.0221840703744558
"ENSCAFG00000019478","TMEM203",491235,"transmembrane protein 203 [Source:VGNC Symbol;Acc:VGNC:47522]",202.353563353424,0.432172679010453,0.139332777958349,0.000253063797204671,0.0223818889372779
"ENSCAFG00000019990","IER5L",491302,"immediate early response 5 like [Source:VGNC Symbol;Acc:VGNC:41869]",550.611170897429,0.660817786664822,0.229586341525056,0.000260012824058308,0.0228356717297083
"ENSCAFG00000029170","",489534,"GRB2-related adapter protein [Source:NCBI gene;Acc:489534]",54.9078378281633,0.557386283865784,0.188515433304763,0.000263969243809036,0.0229182539558622
"ENSCAFG00000016880","ATP5MC1",491061,"ATP synthase membrane subunit c locus 1 [Source:VGNC Symbol;Acc:VGNC:51924]",88.5745256828266,0.486186741401805,0.160803036649793,0.000264602820574888,0.0229182539558622
"ENSCAFG00000016918","GNGT2",403617,"G protein subunit gamma transducin 2 [Source:VGNC Symbol;Acc:VGNC:41325]",38.7841134380151,0.564418619180746,0.192026410368983,0.000272788570281112,0.0233057935657176
"ENSCAFG00000016920","ABI3",491068,"ABI family member 3 [Source:VGNC Symbol;Acc:VGNC:37476]",38.7841134380151,0.564418619180746,0.192026410368983,0.000272788570281112,0.0233057935657176
"ENSCAFG00000011817",NA,NA,NA,541.034319276643,0.612009111951227,0.211032989905633,0.000279901414272485,0.0235924957171016
"ENSCAFG00000016984","PER1",489488,"period circadian regulator 1 [Source:VGNC Symbol;Acc:VGNC:44420]",6134.62939080123,0.514245667092144,0.171948313109616,0.000279815324673705,0.0235924957171016
"ENSCAFG00000014955","RPL22L1",488163,"ribosomal protein L22 like 1 [Source:VGNC Symbol;Acc:VGNC:45716]",264.695422695318,0.348697923825901,0.10975536598428,0.000287934285217222,0.0241077779202873
"ENSCAFG00000005911","MYADML2",483373,"myeloid associated differentiation marker like 2 [Source:VGNC Symbol;Acc:VGNC:43517]",155.355869006289,0.731418259854114,0.261461989790917,0.000294842490595065,0.0244981354386849
"ENSCAFG00000005834","ZIC5",612986,"Zic family member 5 [Source:VGNC Symbol;Acc:VGNC:48635]",112.779233074137,-0.547389906398072,0.186857445461544,0.000296497857049136,0.0244981354386849
"ENSCAFG00000000913","TSPO",474475,"translocator protein [Source:VGNC Symbol;Acc:VGNC:54552]",38.7608026854265,0.672047255694927,0.23802211789327,0.000304288000168047,0.024666652144955
"ENSCAFG00000020106","ENG",609166,"endoglin [Source:VGNC Symbol;Acc:VGNC:40362]",576.132301214509,0.549062522924529,0.188103719827554,0.000303649385080123,0.024666652144955
"ENSCAFG00000023152","",448785,"purinergic receptor P2X 5 [Source:NCBI gene;Acc:448785]",702.476531399905,0.284937664765296,0.0870635783350707,0.000304429578984634,0.024666652144955
"ENSCAFG00000028942","LYSMD4",488709,"LysM domain containing 4 [Source:VGNC Symbol;Acc:VGNC:42898]",230.571251848348,-0.264068262420539,0.0796948758868176,0.000306433517046447,0.024669862439656
"ENSCAFG00000006546","ARID5A",483050,"AT-rich interaction domain 5A [Source:VGNC Symbol;Acc:VGNC:38100]",141.820401155605,0.620891629874245,0.217765880819075,0.000311576215230356,0.0247663651080889
"ENSCAFG00000010323","SRD5A1",403716,"steroid 5 alpha-reductase 1 [Source:VGNC Symbol;Acc:VGNC:46793]",344.43697859463,0.451286808381421,0.149824761048427,0.000311249691781289,0.0247663651080889
"ENSCAFG00000002820","SPACA6",111098980,"sperm acrosome associated 6 [Source:VGNC Symbol;Acc:VGNC:53990]",87.3711689686936,-0.440908030286017,0.145936830664844,0.000314776962249261,0.024863420559047
"ENSCAFG00000000160","NAB2",481122,"NGFI-A binding protein 2 [Source:VGNC Symbol;Acc:VGNC:43601]",734.067840671579,0.571819817220121,0.198440346291169,0.000320112137945659,0.025126802127872
"ENSCAFG00000009506","ABI3BP",478544,"ABI family member 3 binding protein [Source:VGNC Symbol;Acc:VGNC:37477]",312.482567717382,-1.15091788977212,0.441600142663347,0.000344239163211041,0.025581654738269
"ENSCAFG00000001301","GSDMD",609395,"gasdermin D [Source:VGNC Symbol;Acc:VGNC:41526]",37.7807677640217,0.70165818035632,0.252052677634825,0.00033399125624857,0.025581654738269
"ENSCAFG00000005542","C1QTNF1",NA,"C1q and TNF related 1 [Source:VGNC Symbol;Acc:VGNC:51925]",81.2279734494648,0.607954061648737,0.215447116080832,0.000343548110493381,0.025581654738269
"ENSCAFG00000032120","C1QTNF6",481273,"C1q and TNF related 6 [Source:VGNC Symbol;Acc:VGNC:38584]",81.2279734494648,0.607954061648737,0.215447116080832,0.000343548110493381,0.025581654738269
"ENSCAFG00000014448","ZNF804A",NA,"zinc finger protein 804A [Source:VGNC Symbol;Acc:VGNC:48824]",457.157692999372,0.514097969817555,0.176541923409709,0.000342759113063896,0.025581654738269
"ENSCAFG00000008725","ADRA1A",403866,"adrenoceptor alpha 1A [Source:VGNC Symbol;Acc:VGNC:37672]",43.9093377566015,0.382908845880778,0.124274529061548,0.000336396331387504,0.025581654738269
"ENSCAFG00000004537","AGBL5",475695,"ATP/GTP binding protein like 5 [Source:VGNC Symbol;Acc:VGNC:37698]",649.620738279324,0.318697582757283,0.10008973452089,0.000337755421578578,0.025581654738269
"ENSCAFG00000028821","MINPP1",486462,"multiple inositol-polyphosphate phosphatase 1 [Source:VGNC Symbol;Acc:VGNC:59061]",551.969607225562,-0.244581881732461,0.0737510340757743,0.000339698254568113,0.025581654738269
"ENSCAFG00000005260","SPRY2",485504,"sprouty RTK signaling antagonist 2 [Source:VGNC Symbol;Acc:VGNC:46766]",1229.05467913351,0.215033954407567,0.0638014257566418,0.000343499935707586,0.025581654738269
"ENSCAFG00000011663","MECR",478159,"mitochondrial trans-2-enoyl-CoA reductase [Source:VGNC Symbol;Acc:VGNC:43116]",312.728657711479,0.424313645120107,0.140923511419725,0.000347742882286509,0.0256900168155074
"ENSCAFG00000019423","PRXL2B",489616,"peroxiredoxin like 2B [Source:VGNC Symbol;Acc:VGNC:40661]",294.77013587741,0.669223734614083,0.242010059068456,0.000366011735944863,0.0268815286066172
"ENSCAFG00000031290","C1QA",478194,"complement C1q A chain [Source:VGNC Symbol;Acc:VGNC:38576]",512.283573051798,0.602457307616272,0.214117469155875,0.000369856749532408,0.0270059937056832
"ENSCAFG00000017257","",484932,"mannosidase alpha class 2B member 1 [Source:NCBI gene;Acc:484932]",2106.74476429001,0.564454456108691,0.198321428795698,0.000374396185055138,0.0270148664464725
"ENSCAFG00000006471","THUMPD2",483044,"THUMP domain containing 2 [Source:VGNC Symbol;Acc:VGNC:47361]",69.6460122892688,-0.461964249642259,0.157011955376438,0.000373477233959657,0.0270148664464725
"ENSCAFG00000001143","MCHR1",403563,"melanin concentrating hormone receptor 1 [Source:VGNC Symbol;Acc:VGNC:43076]",624.996061819971,0.387748876749027,0.127608138903598,0.000376431374164558,0.0270148664464725
"ENSCAFG00000024447","OASL",477518,"oligoadenylate synthetase-like 2 [Source:NCBI gene;Acc:477518]",374.509800135719,-0.450757494260535,0.153078460742999,0.000383345543248857,0.0270472355535096
"ENSCAFG00000017626","FAXDC2",489163,"fatty acid hydroxylase domain containing 2 [Source:VGNC Symbol;Acc:VGNC:40747]",1063.47656916007,0.408392795167851,0.135928822401902,0.000385496867909723,0.0270472355535096
"ENSCAFG00000002105","FHL2",474544,"four and a half LIM domains 2 [Source:VGNC Symbol;Acc:VGNC:40872]",383.640901452331,0.339605385765578,0.10934448128412,0.00038300583924757,0.0270472355535096
"ENSCAFG00000000206","CDO1",474637,"cysteine dioxygenase type 1 [Source:VGNC Symbol;Acc:VGNC:39075]",727.378127878615,0.268973035498225,0.0813499939836349,0.000382326977703893,0.0270472355535096
"ENSCAFG00000011279","ZNF639",478636,"zinc finger protein 639 [Source:VGNC Symbol;Acc:VGNC:48782]",669.199023536398,-0.260974423472139,0.0805556533806174,0.000388373169638363,0.0270976590971567
"ENSCAFG00000007358","KCTD15",484595,"potassium channel tetramerization domain containing 15 [Source:VGNC Symbol;Acc:VGNC:42303]",277.666003815269,0.537800109077069,0.189271094013471,0.000393999112491834,0.027188103592225
"ENSCAFG00000001056","SQLE",608021,"squalene epoxidase [Source:VGNC Symbol;Acc:VGNC:46786]",3033.67325781434,0.255015667558761,0.0783255771485362,0.000392304142512239,0.027188103592225
"ENSCAFG00000017675","SERPINA3",480425,"alpha-1-antichymotrypsin [Source:NCBI gene;Acc:480425]",130.113273788345,-0.97785197765041,0.377084824054309,0.000401300059300084,0.0275405871297801
"ENSCAFG00000012380","SLC37A4",489375,"solute carrier family 37 member 4 [Source:VGNC Symbol;Acc:VGNC:46389]",222.708260156782,0.414706440678106,0.13940313985339,0.000407330805518644,0.0278025412310253
"ENSCAFG00000002618","TNNI3",403566,"troponin I3, cardiac type [Source:VGNC Symbol;Acc:VGNC:47689]",43.7565387989618,0.639804344433591,0.233542004939651,0.000414431176595542,0.0279855798926497
"ENSCAFG00000032444","",608550,"ferritin heavy chain-like [Source:NCBI gene;Acc:608550]",41.8712737373215,0.61957420782677,0.224876619960548,0.000416494219461741,0.0279855798926497
"ENSCAFG00000015184","LTBR",486728,"lymphotoxin beta receptor [Source:VGNC Symbol;Acc:VGNC:42860]",88.2797661872976,0.550394231928398,0.195788377674479,0.000418925791847929,0.0279855798926497
"ENSCAFG00000012727","MRGBP",612425,"MRG domain binding protein [Source:VGNC Symbol;Acc:VGNC:54654]",80.0090719158795,0.521307340557738,0.183850479873604,0.000416742665378523,0.0279855798926497
"ENSCAFG00000017866","ISLR",487643,"immunoglobulin superfamily containing leucine rich repeat [Source:VGNC Symbol;Acc:VGNC:42110]",93.6932800462076,0.643417267020921,0.236571021234971,0.000435221751043896,0.0281969986462493
"ENSCAFG00000018306","STXBP2",403880,"syntaxin binding protein 2 [Source:VGNC Symbol;Acc:VGNC:46960]",102.447687970629,0.496989512136825,0.173633660726726,0.000426513461279393,0.0281969986462493
"ENSCAFG00000016825","SH3PXD2B",489119,"SH3 and PX domains 2B [Source:VGNC Symbol;Acc:VGNC:46131]",169.456486630275,0.442939399142764,0.151915725082591,0.00043071124932386,0.0281969986462493
"ENSCAFG00000005695","SPATA24",612738,"spermatogenesis associated 24 [Source:VGNC Symbol;Acc:VGNC:46711]",120.152183256243,0.423990156396084,0.14456161506462,0.000434126644296335,0.0281969986462493
"ENSCAFG00000001522","NCF4",481277,"neutrophil cytosolic factor 4 [Source:VGNC Symbol;Acc:VGNC:43651]",72.7767578079105,0.377678408993814,0.125304200153336,0.000435561568387002,0.0281969986462493
