"seurat_clusters","CD4_T_score1","CD8_T_score1","B_cell_score1","NK_score1","CD14_mono_score1","FCGR3A_mono_score1","DC_score1","Platelet_score1"
"0",0.118914283023603,-0.00333410173686201,-0.273756786323281,-0.424973445114536,-0.491277061505757,-0.08106280066126,-0.490871395841271,-0.0164641512125467
"1",-0.303852750090094,-0.145431243392891,-0.293615271226664,-0.450004224026576,1.76121324715104,0.00353023523348749,0.351010391551252,0.000234915404061133
"2",0.0298648073473635,-0.0789795479081623,-0.283736655403009,-0.432923160688212,-0.511479742246529,-0.0936810881892834,-0.50557112534032,-0.0176980006111372
"3",-0.212813183245505,-0.0920248644868413,0.724776628365781,-0.392310791183166,-0.472439363192428,-0.0625380309008422,-0.0557124445534576,-0.0125238200605439
"4",-0.0206855684481294,0.475480826313797,-0.262824786517116,-0.0146714851518575,-0.501490063874173,-0.0827433170627982,-0.472490196483423,-0.0143611116061268
"5",-0.260867468352603,-0.0867620006211733,-0.253862427704055,1.974591325557,-0.509159447147029,0.228232300214533,-0.449488123245979,-0.0257598954074249
"6",-0.340590226817708,-0.196049602347526,-0.229585137738256,-0.478713891245855,0.0973790775353682,0.891544085144652,0.318846572067672,-0.00363697892271895
"7",-0.231077681102342,0.429907565478393,-0.270927964331818,0.690591396703807,-0.50855237027299,0.0380262202899745,-0.445389793312961,-0.00690659094497537
"8",-0.309154439396795,-0.154308806417998,-0.306961568889896,-0.466631174978615,0.493577358749878,-0.0765694812779086,1.49719439455027,-0.0119884369965455
"9",-0.195521930049976,-0.0803452993728069,-0.207137225617513,-0.302886052668187,-0.104405361912881,-0.0222617191308771,-0.0117336752211841,2.21959680183172
