"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"2","GO:0042110","T cell activation","14/46",1.8829206978334e-05,0.00366039783658812,14,"CD40LG/SIT1/CD2/IL7R/CD3D/CD3G/LAT/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0046649","lymphocyte activation","16/46",3.42978315004563e-05,0.00473567191078338,16,"CD40LG/SIT1/CD2/ITM2A/IL7R/CD3D/CD3G/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0043368","positive T cell selection","5/46",3.64967234962437e-05,0.00473567191078338,5,"CD3D/CD3G/CD3E/SOCS3/CD69"
"2","GO:0002250","adaptive immune response","13/46",4.25521518836625e-05,0.00473567191078338,13,"CD40LG/TRAT1/SIT1/IL7R/CD3D/CD3G/LAT/CD3E/LEF1/CD27/SOCS3/CD69/TAP1"
"2","GO:0007166","cell surface receptor signaling pathway","22/46",4.40427147936914e-05,0.00473567191078338,22,"CD40LG/MAL/TRAT1/CD2/TRADD/LTB/IL7R/CD3D/CD3G/PLP2/LAT/LEPROTL1/LCK/PBXIP1/CD3E/LEF1/PRDX2/CD27/SOCS3/RGCC/IFITM1/OCIAD2"
"2","GO:0050863","regulation of T cell activation","11/46",4.87209044319277e-05,0.00473567191078338,11,"CD40LG/SIT1/CD2/IL7R/LAT/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0030097","hemopoiesis","15/46",5.80175976443811e-05,0.00512664590093986,15,"CD40LG/CD2/ITM2A/IL7R/CD3D/CD3G/FLT3LG/LCK/PBXIP1/CD3E/LEF1/PRDX2/CD27/SOCS3/CD69"
"2","GO:0045580","regulation of T cell differentiation","7/46",0.000102250629893917,0.00828230102140732,7,"CD2/IL7R/LCK/LEF1/PRDX2/CD27/CD69"
"2","GO:0051249","regulation of lymphocyte activation","12/46",0.000122725138161978,0.00917606417641867,12,"CD40LG/SIT1/CD2/IL7R/LAT/FLT3LG/LCK/CD3E/LEF1/PRDX2/CD27/CD69"
"2","GO:0046629","gamma-delta T cell activation","4/46",0.000145699092954817,0.0101156798822916,4,"CD3G/LCK/CD3E/LEF1"
