id	filename	md5	size	state
0bbde4ab-4f9d-478b-a168-055e489b53f2	0bbde4ab-4f9d-478b-a168-055e489b53f2/06a9adb9-0cc7-4e06-abbe-894f1883ed9f.rna_seq.augmented_star_gene_counts.tsv	11ecfc20c0de0c722c8237ad7123432f	4247601	validated
6df1efd7-bd1b-4c00-8cbb-eb1b6b7c78b6	6df1efd7-bd1b-4c00-8cbb-eb1b6b7c78b6/777fc549-47cf-4c3b-9931-e58c9f3fcc6b.rna_seq.augmented_star_gene_counts.tsv	2c8c411e9ca3cc893daa3594799bdbdf	4246678	validated
996511b1-d236-4060-a307-81557721cfe5	996511b1-d236-4060-a307-81557721cfe5/21e626a0-d885-475a-9ce0-51d00300cd7e.rna_seq.augmented_star_gene_counts.tsv	50f854006f825c9aa6c14439c9e272fa	4240211	validated
34fd315d-cfd8-4d85-8114-22311d55a1fc	34fd315d-cfd8-4d85-8114-22311d55a1fc/30478577-87f7-4906-9eec-1cba0d2cac85.rna_seq.augmented_star_gene_counts.tsv	74504eb462545a1b89af6f6feb8aca19	4242838	validated
dcc70515-99c2-4867-b39a-e4c3e3a66430	dcc70515-99c2-4867-b39a-e4c3e3a66430/86f3f0b9-56f4-4239-8162-6d24c108d880.rna_seq.augmented_star_gene_counts.tsv	a77dc465f579f16d8df2a3b547c8e4c7	4249733	validated
6d8bf03c-2f7c-45b1-b81c-1de9d5085960	6d8bf03c-2f7c-45b1-b81c-1de9d5085960/4a818b3c-9b63-4d78-9969-38e513f46d5a.rna_seq.augmented_star_gene_counts.tsv	2aba84f1c5f1055e1ea96f8fb2f5d4e2	4226971	validated
4b758e7e-870c-4b60-8cb6-dac730bd9faf	4b758e7e-870c-4b60-8cb6-dac730bd9faf/9a99a8f3-6a9f-45dc-b9cb-b233c6d6db60.rna_seq.augmented_star_gene_counts.tsv	a0ed548803e0a80e53d02ee1d6ac75fb	4252894	validated
6faba44d-0367-4d54-a41e-1f2969760558	6faba44d-0367-4d54-a41e-1f2969760558/27fb6050-b8b6-4cae-800d-429d63093d67.rna_seq.augmented_star_gene_counts.tsv	de284cfe573d16a9a1af4380012d6237	4252065	validated
fae1f158-5990-4e7c-90a9-f33fe8be8753	fae1f158-5990-4e7c-90a9-f33fe8be8753/d468fd85-1ccf-44a4-b9ea-1640137d8f62.rna_seq.augmented_star_gene_counts.tsv	51f5f1a92a52d7c22df1c55b43afe3bd	4250500	validated
f8a0a7cf-0444-4039-a255-6d31bcf748ac	f8a0a7cf-0444-4039-a255-6d31bcf748ac/d65aca79-6b26-45da-8a9e-d9d0bc1f179b.rna_seq.augmented_star_gene_counts.tsv	369146e67803ebc38b15a46d1abf0e3b	4248034	validated
e673a5b6-c070-4068-b667-c7e81adfb4cf	e673a5b6-c070-4068-b667-c7e81adfb4cf/58221495-6cdb-4363-aa29-8f0b1c42a6f5.rna_seq.augmented_star_gene_counts.tsv	53891b1f343853e402a57af21ac67a2e	4251414	validated
2a8ed8a3-37a6-4492-823c-a86f392d0c44	2a8ed8a3-37a6-4492-823c-a86f392d0c44/3fe12cfa-5042-4625-ac9a-c1be80013643.rna_seq.augmented_star_gene_counts.tsv	62433ac7e48ccedcad44b1b35581b192	4254360	validated
5cd2f5f2-1325-454e-94a3-253d475205ef	5cd2f5f2-1325-454e-94a3-253d475205ef/9849d0e7-d13b-4f3b-b73d-d67e635a96ed.rna_seq.augmented_star_gene_counts.tsv	98bb2f1488dd12dd03a977996930be43	4233018	validated
dbe1371f-dbf9-46b1-b603-a9e560fb75df	dbe1371f-dbf9-46b1-b603-a9e560fb75df/d46f2d5f-0e4a-4c0c-8904-44b95a1dcbd0.rna_seq.augmented_star_gene_counts.tsv	15871dee753b71c14766f10ab33fa8f0	4251307	validated
d6a8b3be-0ea5-4d4f-bf62-27ec684d4705	d6a8b3be-0ea5-4d4f-bf62-27ec684d4705/21aaa4c9-e933-4e64-b3d9-8d2d1b9a9ea6.rna_seq.augmented_star_gene_counts.tsv	cbe772260992e02926bb75bb5876568a	4235816	validated
3c5c707d-2046-4dcd-a566-bea1eaf24f74	3c5c707d-2046-4dcd-a566-bea1eaf24f74/69003cd5-2aeb-4d84-a490-76667572ca0f.rna_seq.augmented_star_gene_counts.tsv	8d0ce3a27e891768675600cb4df19936	4250626	validated
5013520a-e7b1-4171-865c-f5a624741432	5013520a-e7b1-4171-865c-f5a624741432/963bb3df-5b6e-424f-acb2-ffee1424d6f8.rna_seq.augmented_star_gene_counts.tsv	4c150f8d6f55466b1f294c3075d89c60	4232085	validated
114e63e4-03a5-409e-835f-afa8af005d03	114e63e4-03a5-409e-835f-afa8af005d03/7dd55f05-23aa-407f-8214-5584d1130569.rna_seq.augmented_star_gene_counts.tsv	b0338351a944121e8812a35d7e60dd18	4241529	validated
c909d244-ad90-42b8-8cb9-b12a878bdbfa	c909d244-ad90-42b8-8cb9-b12a878bdbfa/7109300e-d920-4baf-9507-69acf2eac917.rna_seq.augmented_star_gene_counts.tsv	1c1907a60474db3670ada573822887e4	4228607	validated
1c5ca894-35e2-40f0-9d1a-38d25f6d6d78	1c5ca894-35e2-40f0-9d1a-38d25f6d6d78/ffce7349-cdf4-48b0-9238-da324d638e95.rna_seq.augmented_star_gene_counts.tsv	572ebb987b219095497086a530224322	4247137	validated
